ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Date,Year,Month,Day_of_Week,Hour
A-226576,2,2021-07-08 17:48:30,2021-07-08 18:00:30,45.561742,-122.562482,45.553649,-122.566556,0.593,Slow traffic on E Portland Fwy S - Veterans Memorial Fwy S - I-205 S from Airport Way/Exit 24 (I-205) to US-30 Bus/Sandy Blvd/Exit 23 (I-205) due to accident.,,E Portland Fwy S,R,Portland,Multnomah,OR,97220,US,US/Pacific,KPDX,2021-07-08 17:53:00,79.0,79.0,40.0,29.96,10.0,WNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-07-08,2021,7,3,17
A-227019,2,2021-04-06 15:02:57,2021-04-06 17:47:57,45.508831,-122.738412,45.507826,-122.744106,0.284,A vehicle fire has the west bound right lane closed at Washington Park. Use caution.,,Sunset Hwy W,R,Portland,Multnomah,OR,97221,US,US/Pacific,KPDX,2021-04-06 14:53:00,61.0,61.0,34.0,30.04,10.0,W,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-04-06,2021,4,1,15
A-227480,2,2021-06-01 17:09:53,2021-06-01 18:54:53,45.529242,-122.665175,45.531032,-122.665175,0.124,A crash has occurred causing no to minimum delays. Use caution.,,US-30 W,R,Portland,Multnomah,OR,97232,US,US/Pacific,KPDX,2021-06-01 16:53:00,95.0,95.0,24.0,29.82,10.0,W,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-01,2021,6,1,17
A-227521,2,2021-09-01 10:51:47,2021-09-01 12:51:47,45.462429,-122.579031,45.46152,-122.579045,0.063,An unconfirmed report of a disabled vehicle creating a hazard has been received. Use caution.,,SE 82nd Ave,R,Portland,Multnomah,OR,97206,US,US/Pacific,KPDX,2021-09-01 10:53:00,62.0,62.0,58.0,29.97,10.0,NW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-01,2021,9,2,10
A-227522,2,2021-06-30 20:15:55,2021-06-30 22:00:55,45.466311,-122.579028,45.465103000000006,-122.579032,0.083,Incident on OR-213 SB near MP 6 Right lane blocked. Expect delays.,7865.0, SE 82nd Ave,R,Portland,Multnomah,OR,97266,US,US/Pacific,KPDX,2021-06-30 19:53:00,75.0,75.0,57.0,29.9,10.0,NNW,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-30,2021,6,2,20
A-227589,2,2021-11-12 17:08:30,2021-11-12 17:49:00,45.507636,-122.661087,45.490344,-122.653707,1.247,Slow traffic on OR-99E from SE Division St to SE Milwaukie Ave due to accident.,,SE Martin Luther King Jr Blvd,R,Portland,Multnomah,OR,97214,US,US/Pacific,KPDX,2021-11-12 17:17:00,61.0,61.0,83.0,30.21,10.0,S,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2021-11-12,2021,11,4,17
A-228466,2,2021-12-21 15:36:15,2021-12-21 17:36:15,45.52729,-122.686933,45.52161,-122.685703,0.397,An abandoned vehicle is creating a hazard. There should be no to minimum delay to traffic. Use caution.,,I-405 S,R,Portland,Multnomah,OR,97209,US,US/Pacific,KPDX,2021-12-21 15:53:00,42.0,37.0,67.0,30.01,10.0,SE,9.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2021-12-21,2021,12,1,15
A-228467,2,2021-09-12 16:53:59,2021-09-12 17:53:59,45.525728,-122.686873,45.523581,-122.686435,0.15,Right lane closed at Couch due to crash use caution.,,I-405 N,R,Portland,Multnomah,OR,97209,US,US/Pacific,KPDX,2021-09-12 16:53:00,75.0,75.0,41.0,30.08,10.0,NW,13.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-12,2021,9,6,16
A-228468,2,2021-08-11 15:03:13,2021-08-11 17:03:13,45.52630900000001,-122.686894,45.523581,-122.686435,0.19,A disabled vehicle is creating a hazard causing no to minimum delays. Use caution. Ramps Affected.,,I-405 S,R,Portland,Multnomah,OR,97209,US,US/Pacific,KPDX,2021-08-11 14:53:00,97.0,97.0,29.0,29.88,10.0,WNW,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-08-11,2021,8,2,15
A-228511,2,2021-06-30 18:25:00,2021-06-30 20:27:38,45.57917800000001,-122.661325,45.58135,-122.662121,0.155,Slow traffic on OR-99E from NE Lombard St to NE Mallory Ave due to accident.,7814.0, NE Martin Luther King Jr Blvd,L,Portland,Multnomah,OR,97211,US,US/Pacific,KPDX,2021-06-30 18:53:00,76.0,76.0,58.0,29.88,10.0,NNW,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-30,2021,6,2,18
A-228543,2,2021-10-23 16:20:00,2021-10-23 16:59:00,45.535476,-122.584701,45.528865,-122.602241,0.964,Slow traffic on I-84 W - US-30 W from 82nd Ave/Exit 5 (I-84) to 60th Ave/Exit 3 (I-84) due to accident.,,I-84 W,R,Portland,Multnomah,OR,97213,US,US/Pacific,KPDX,2021-10-23 16:22:00,53.0,53.0,93.0,29.67,2.0,ESE,9.0,0.03,Light Rain,False,False,False,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day,2021-10-23,2021,10,5,16
A-228787,2,2021-06-24 12:18:31,2021-06-24 14:18:31,45.545529,-122.532652,45.542269,-122.483932,2.3680000000000003,An unconfirmed report of hazardous debris has been received. Use caution.,,I-84 E,R,Portland,Multnomah,OR,97230,US,US/Pacific,KTTD,2021-06-24 11:53:00,73.0,73.0,49.0,30.01,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-24,2021,6,3,12
A-229043,2,2021-03-06 07:29:33,2021-03-06 11:14:00,45.506704,-122.671201,45.512372,-122.667567,0.429,Incident on I-405 NB near MP 1 Right lane blocked. Expect delays.,,Marquam Bridge,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-03-06 07:19:00,41.0,38.0,86.0,30.06,10.0,S,5.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-03-06,2021,3,5,7
A-229121,2,2021-12-13 11:06:15,2021-12-13 13:06:15,45.518452,-122.666109,45.525215,-122.662158,0.505,Right lane closed on the ramp to EB I-84 at Burnside due to stall. Use caution.,628.0, SE Water Ave,L,Portland,Multnomah,OR,97214-2161,US,US/Pacific,KPDX,2021-12-13 10:53:00,42.0,42.0,85.0,29.36,10.0,N,3.0,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-12-13,2021,12,0,11
A-229180,2,2021-09-07 20:42:59,2021-09-07 23:27:59,45.601305,-122.677423,45.59275,-122.667807,0.752,A vehicle fire has occurred causing no to minimum delays. Use caution.,10689.0, N Martin Luther King Jr Blvd,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-09-07 20:53:00,74.0,74.0,45.0,29.88,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2021-09-07,2021,9,1,20
A-229555,2,2021-04-26 08:58:00,2021-04-26 11:37:30,45.498393,-122.673209,45.507015,-122.67064,0.609,Slow traffic on Pacific Highway 1 N - I-5 N from I-405/Exit 299 (I-5) to I-405 (I-5) due to accident.,,I-405 N,R,Portland,Multnomah,OR,97239,US,US/Pacific,KPDX,2021-04-26 08:53:00,51.0,51.0,77.0,29.9,10.0,S,7.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-04-26,2021,4,0,8
A-229706,2,2021-09-19 15:19:16,2021-09-19 17:04:16,45.535465,-122.685946,45.540525,-122.679766,0.46,Incident on I-405 NB near MP 3 Right lane blocked. Expect delays.,,Fremont Brg,R,Portland,Multnomah,OR,97209,US,US/Pacific,KPDX,2021-09-19 14:53:00,63.0,63.0,78.0,30.1,10.0,S,5.0,0.26,Mostly Cloudy,False,False,True,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-19,2021,9,6,15
A-229806,2,2021-12-14 14:25:30,2021-12-14 18:55:00,45.542302,-122.561729,45.56525900000001,-122.557054,1.602,Stationary traffic on Veterans Memorial Fwy N - I-205 N - E Portland Fwy N from I-84/US-30/Exit 22 (I-205) to Airport Way/Exit 24 (I-205) due to accident.,,E Portland Fwy N,R,Portland,Multnomah,OR,97220,US,US/Pacific,KPDX,2021-12-14 14:53:00,44.0,39.0,63.0,29.84,10.0,SSW,9.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-12-14,2021,12,1,14
A-229828,2,2021-07-28 18:05:30,2021-07-28 18:29:00,45.515547,-122.69366,45.50882100000001,-122.736546,2.128,Slow traffic on Sunset Hwy W - US-26 W from I-405/Market St (US-26) to Skyline Blvd/Exit 71 (US-26) due to accident.,,Sunset Hwy W,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-07-28 17:53:00,93.0,93.0,24.0,29.96,10.0,N,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-07-28,2021,7,2,18
A-229994,2,2021-05-05 05:55:30.000000000,2021-05-05 18:10:30.000000000,45.508612,-122.723574,45.515295,-122.693482,1.528,Slow traffic on Sunset Hwy E - US-26 E from Skyline Blvd/Exit 71 (US-26) to I-405/Market St (US-26) due to accident.,,Sunset Hwy E,R,Portland,Multnomah,OR,97221,US,US/Pacific,KPDX,2021-05-05 05:53:00,47.0,45.0,86.0,30.06,10.0,WNW,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-05-05,2021,5,2,5
A-229995,2,2021-04-08 06:12:30.000000000,2021-04-08 18:33:30.000000000,45.505845,-122.754443,45.51563,-122.695613,2.928,Stationary traffic on Sunset Hwy E - US-26 E from OR-217/Exit 69 (US-26) to I-405/Market St (US-26) due to accident.,,Sunset Hwy E,R,Portland,Washington,OR,97225,US,US/Pacific,KHIO,2021-04-08 05:53:00,40.0,37.0,97.0,30.01,10.0,NW,5.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2021-04-08,2021,4,3,6
A-230087,2,2021-12-18 14:48:36.000000000,2021-12-18 17:33:36.000000000,45.575969,-122.678719,45.563473,-122.678739,0.863,A stall has the SB left lane closed at Lombard. Use caution.,,I-5 S,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-12-18 14:53:00,50.0,50.0,80.0,29.84,10.0,S,14.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-12-18,2021,12,5,14
A-230482,2,2021-09-25 12:16:30.000000000,2021-09-25 15:15:01.000000000,45.532844,-122.687423,45.52630900000001,-122.686894,0.452,Stationary traffic on I-405 S from NW 16th Ave to Couch St exit [2A] due to accident.,1601.0, NW Pettygrove St,R,Portland,Multnomah,OR,97209-2453,US,US/Pacific,KPDX,2021-09-25 11:53:00,73.0,73.0,48.0,29.88,10.0,NW,7.0,0.0,Fair,True,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2021-09-25,2021,9,5,12
A-230924,2,2021-06-14 13:17:29.000000000,2021-06-14 15:17:29.000000000,45.52641,-122.68674,45.5288,-122.68676,0.165,Hazardous debris is causing no to minimum delays. Use caution.,,I-405 N,R,Portland,Multnomah,OR,97209,US,US/Pacific,KPDX,2021-06-14 13:33:00,66.0,66.0,75.0,30.01,10.0,SSW,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-14,2021,6,0,13
A-230995,2,2021-10-04 15:51:30.000000000,2021-10-04 16:12:30.000000000,45.521009,-122.812727,45.515793,-122.798931,0.759,Slow traffic on Sunset Hwy E - US-26 E from Cornell Rd/Exit 65 (US-26) to Cedar Hills Blvd/Exit 68 (US-26) due to accident.,,Sunset Hwy E,R,Portland,Washington,OR,97229,US,US/Pacific,KVUO,2021-10-04 15:53:00,68.0,68.0,61.0,29.8,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2021-10-04,2021,10,0,15
A-231027,2,2021-04-23 07:30:47.000000000,2021-04-23 09:30:47.000000000,45.515488,-122.693263,45.514438,-122.701013,0.382,Left lane closed prior to the Tunnel due to stall. Use caution.,,Sunset Hwy W,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-04-23 07:53:00,49.0,47.0,66.0,30.0,10.0,S,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-04-23,2021,4,4,7
A-231063,2,2021-09-27 07:48:35.000000000,2021-09-27 09:33:35.000000000,45.543791,-122.675217,45.541731,-122.672777,0.185,A crash has occurred causing no to minimum delays. Use caution.,,I-5 S,R,Portland,Multnomah,OR,97227,US,US/Pacific,KPDX,2021-09-27 07:53:00,59.0,59.0,87.0,29.81,10.0,ESE,7.0,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-27,2021,9,0,7
A-231086,2,2021-10-20 03:48:44.000000000,2021-10-20 04:48:44.000000000,45.541645,-122.699378,45.541025,-122.698618,0.0559999999999999,A crash has US30 closed in both directions between Nicolai and Kittridge. Use an alternate route.,2611.0, NW Yeon Ave,L,Portland,Multnomah,OR,97210-1835,US,US/Pacific,KVUO,2021-10-20 03:53:00,53.0,53.0,93.0,29.62,6.0,W,7.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-10-20,2021,10,2,3
A-231146,2,2021-09-17 13:11:30.000000000,2021-09-17 15:07:00.000000000,45.489056,-122.67623600000002,45.511584,-122.667153,1.617,Slow traffic on Pacific Highway 1 N - I-5 N - Marquam Brg N from Terwilliger Blvd/Exit 297 (I-5) to Exit 300 (I-5) due to accident.,,SW Corbett Ave,R,Portland,Multnomah,OR,97239,US,US/Pacific,KPDX,2021-09-17 12:53:00,72.0,72.0,28.0,29.79,10.0,SSW,13.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-17,2021,9,4,13
A-231147,2,2021-09-08 13:18:30.000000000,2021-09-08 13:30:30.000000000,45.501711,-122.672993,45.508146,-122.668684,0.491,Slow traffic on Pacific Highway 1 N - I-5 N - Marquam Brg N from I-405/Exit 299 (I-5) to Exit 300 (I-5) due to accident.,,I-5 N,R,Portland,Multnomah,OR,97201,US,US/Pacific,KPDX,2021-09-08 12:53:00,80.0,80.0,32.0,29.99,10.0,W,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-08,2021,9,2,13
A-231148,2,2021-07-07 11:00:30.000000000,2021-07-07 11:21:30.000000000,45.489195,-122.676071,45.509316,-122.667006,1.4580000000000002,Slow traffic on Pacific Highway 1 N - I-5 N - Marquam Brg N from Corbett Ave/Exit 298 (I-5) to Exit 300 (I-5) due to accident.,,I-5 N,R,Portland,Multnomah,OR,97239,US,US/Pacific,KPDX,2021-07-07 10:53:00,64.0,64.0,70.0,30.07,10.0,SW,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-07-07,2021,7,2,11
A-231245,2,2021-06-05 16:15:31.000000000,2021-06-05 18:00:31.000000000,45.574481,-122.67874,45.566842,-122.678735,0.528,A crash has the SB right lane and left lane closed at Rosa Parks. Use caution.,,I-5 S,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-06-05 15:53:00,66.0,66.0,40.0,30.06,10.0,W,12.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-05,2021,6,5,16
A-231797,2,2021-11-03 15:07:00.000000000,2021-11-03 15:20:00.000000000,45.566493,-122.678714,45.563463,-122.678714,0.209,Stationary traffic on Pacific Highway 1 S - I-5 S from Portland Blvd/Exit 304 (I-5) to Alberta St/Exit 303 (I-5) due to accident.,,I-5 S,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-11-03 14:53:00,57.0,57.0,67.0,29.91,10.0,ESE,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-11-03,2021,11,2,15
A-232042,2,2021-09-09 10:21:19,2021-09-09 12:21:19,45.562665,-122.576628,45.562658,-122.576931,0.015,A stall has the WB right lane closed at 82nd Ave. Use caution.,8338.0, NE Killingsworth St,R,Portland,Multnomah,OR,97220-4657,US,US/Pacific,KPDX,2021-09-09 09:53:00,71.0,71.0,61.0,29.9,10.0,NNE,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-09-09,2021,9,3,10
A-232280,2,2021-12-18 16:33:00,2021-12-18 19:34:30,45.479912,-122.67867,45.511661,-122.667194,2.263,Slow traffic on Pacific Highway 1 N - I-5 N - Marquam Brg N from Terwilliger Blvd/Exit 297 (I-5) to Exit 300 (I-5) due to accident.,,I-5 N,R,Portland,Multnomah,OR,97239,US,US/Pacific,KPDX,2021-12-18 16:29:00,51.0,51.0,80.0,29.86,6.0,WSW,13.0,0.05,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2021-12-18,2021,12,5,16
A-232381,2,2021-10-15 04:35:30,2021-10-15 05:04:30,45.442764,-122.775321,45.448203,-122.783352,0.541,Slow traffic on OR-217 N from OR-99W/Pacific Hwy/Exit 6 (OR-217) to OR-210/Scholls Ferry Rd/Exit 4 (OR-217) due to accident.,,Beaverton Tigard Fwy N,R,Portland,Washington,OR,97223,US,US/Pacific,KHIO,2021-10-15 04:53:00,50.0,50.0,100.0,29.99,5.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-10-15,2021,10,4,4
A-232516,2,2021-11-30 19:06:30,2021-11-30 20:06:30,45.587985,-122.680834,45.589537,-122.681535,0.1119999999999999,A crash has occurred causing no to minimum delays. Use caution.,,I-5 N,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-11-30 18:53:00,56.0,56.0,84.0,30.29,10.0,ESE,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2021-11-30,2021,11,1,19
A-232517,2,2021-11-20 15:17:01,2021-11-20 17:02:01,45.590718,-122.68206200000002,45.595178,-122.683992,0.322,Incident on I-5 NB near MP 306 Drive with caution.,,I-5 N,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-11-20 14:53:00,52.0,52.0,57.0,30.48,10.0,VAR,7.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-11-20,2021,11,5,15
A-232518,2,2021-06-23 14:27:59,2021-06-23 16:12:59,45.583831,-122.678993,45.590711,-122.682063,0.498,Incident on I-5 NB near MP 306 Drive with caution.,,I-5 N,R,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2021-06-23 14:53:00,80.0,80.0,36.0,29.88,10.0,WNW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-06-23,2021,6,2,14
A-232991,2,2021-07-30 09:07:30,2021-07-30 09:47:00,45.50643,-122.715158,45.515265,-122.693325,1.221,Slow traffic on Sunset Hwy E - US-26 E from Canyon Rd/Exit 72 (US-26) to I-405/Market St (US-26) due to accident.,,Sunset Hwy E,R,Portland,Multnomah,OR,97221,US,US/Pacific,KPDX,2021-07-30 08:53:00,75.0,75.0,53.0,29.95,10.0,N,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-07-30,2021,7,4,9
A-233009,2,2021-12-21 17:42:06,2021-12-21 19:27:06,45.426481,-122.744246,45.415551,-122.744156,0.755,An unconfirmed report of a crash has been received. Use caution.,,I-5 S,R,Portland,Washington,OR,97223,US,US/Pacific,KHIO,2021-12-21 17:53:00,41.0,41.0,93.0,29.78,8.0,E,3.0,0.01,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2021-12-21,2021,12,1,17
A-233150,2,2021-12-23 10:44:30,2021-12-23 18:55:00,45.464738,-122.568027,45.59718400000001,-122.550071,9.192,Slow traffic on Veterans Memorial Fwy N - I-205 N - E Portland Fwy N from Johnson Creek Blvd/Exit 16 (I-205) to WA-14/Exit 27 (I-205) due to accident.,,E Portland Fwy N,R,Portland,Multnomah,OR,97266,US,US/Pacific,KPDX,2021-12-23 10:53:00,46.0,41.0,71.0,29.58,10.0,SW,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2021-12-23,2021,12,3,10
