Distance(mi),cluster_location,Crossing,Junction,Traffic_Calming,Visibility(mi),Sunrise_Sunset,Weather_Condition,Month,Day_of_Week,Hour,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Wind_Speed(mph),Precipitation(in)
0.155,9,0,0,0,2.302585092994046,1,Cloudy,6,2,18,2,76.0,76.0,58.0,29.88,7.0,0.0
0.964,0,0,0,0,0.6931471805599453,1,Rain,10,5,16,2,53.0,53.0,93.0,29.67,9.0,0.03
2.3680000000000003,5,0,0,0,2.302585092994046,1,Fair,6,3,12,2,73.0,73.0,49.0,30.01,3.0,0.0
0.429,6,0,1,0,2.302585092994046,1,Cloudy,3,5,7,2,41.0,38.0,86.0,30.06,5.0,0.0
0.505,1,0,0,0,2.302585092994046,1,Rain,12,0,11,2,42.0,42.0,85.0,29.36,3.0,0.03
0.752,9,0,0,0,2.302585092994046,0,Fair,9,1,20,2,74.0,74.0,45.0,29.88,0.0,0.0
0.609,6,0,1,0,2.302585092994046,1,Cloudy,4,0,8,2,51.0,51.0,77.0,29.9,7.0,0.0
0.46,1,1,1,0,2.302585092994046,1,Cloudy,9,6,15,2,63.0,63.0,78.0,30.1,5.0,0.26
1.602,5,0,0,0,2.302585092994046,1,Fair,12,1,14,2,44.0,39.0,63.0,29.84,9.0,0.0
2.128,6,0,0,0,2.302585092994046,1,Fair,7,2,18,2,93.0,93.0,24.0,29.96,8.0,0.0
1.528,6,0,0,0,2.302585092994046,1,Cloudy,5,2,5,2,47.0,45.0,86.0,30.06,5.0,0.0
2.928,4,0,0,0,2.302585092994046,0,Rain,4,3,6,2,40.0,37.0,97.0,30.01,5.0,0.0
0.863,9,0,0,0,2.302585092994046,1,Rain,12,5,14,2,50.0,50.0,80.0,29.84,14.0,0.01
0.452,1,0,0,0,2.302585092994046,1,Fair,9,5,12,2,73.0,73.0,48.0,29.88,7.0,0.0
0.165,1,0,0,0,2.302585092994046,1,Cloudy,6,0,13,2,66.0,66.0,75.0,30.01,7.0,0.0
0.759,4,0,0,0,2.302585092994046,1,Fair,10,0,15,2,68.0,68.0,61.0,29.8,3.0,0.0
0.382,6,0,0,0,2.302585092994046,1,Cloudy,4,4,7,2,49.0,47.0,66.0,30.0,6.0,0.0
0.185,1,0,0,0,2.302585092994046,1,Rain,9,0,7,2,59.0,59.0,87.0,29.81,7.0,0.02
0.0559999999999999,1,0,0,0,1.791759469228055,0,Rain,10,2,3,2,53.0,53.0,93.0,29.62,7.0,0.0
1.617,6,0,0,0,2.302585092994046,1,Cloudy,9,4,13,2,72.0,72.0,28.0,29.79,13.0,0.0
0.491,6,0,0,0,2.302585092994046,1,Fair,9,2,13,2,80.0,80.0,32.0,29.99,9.0,0.0
1.4580000000000002,6,0,0,0,2.302585092994046,1,Cloudy,7,2,11,2,64.0,64.0,70.0,30.07,6.0,0.0
0.528,9,0,1,0,2.302585092994046,1,Cloudy,6,5,16,2,66.0,66.0,40.0,30.06,12.0,0.0
0.209,9,0,0,0,2.302585092994046,1,Cloudy,11,2,15,2,57.0,57.0,67.0,29.91,7.0,0.0
0.015,5,0,0,0,2.302585092994046,1,Cloudy,9,3,10,2,71.0,71.0,61.0,29.9,3.0,0.0
2.263,6,0,0,0,1.791759469228055,0,Rain,12,5,16,2,51.0,51.0,80.0,29.86,13.0,0.05
0.541,2,0,0,0,1.6094379124341003,0,Cloudy,10,4,4,2,50.0,50.0,100.0,29.99,0.0,0.0
0.1119999999999999,9,0,0,0,2.302585092994046,0,Cloudy,11,1,19,2,56.0,56.0,84.0,30.29,3.0,0.0
0.322,9,0,1,0,2.302585092994046,1,Cloudy,11,5,15,2,52.0,52.0,57.0,30.48,7.0,0.0
0.498,9,0,0,0,2.302585092994046,1,Fair,6,2,14,2,80.0,80.0,36.0,29.88,9.0,0.0
1.221,6,0,0,0,2.302585092994046,1,Cloudy,7,4,9,2,75.0,75.0,53.0,29.95,3.0,0.0
0.755,2,0,1,0,2.0794415416798357,0,Rain,12,1,17,2,41.0,41.0,93.0,29.78,3.0,0.01
9.192,0,0,0,0,2.302585092994046,1,Cloudy,12,3,10,2,46.0,41.0,71.0,29.58,9.0,0.0
0.032,9,1,0,0,2.0794415416798357,0,Rain,12,5,2,2,45.0,40.0,82.0,29.82,9.0,0.05
0.0969999999999999,4,0,0,0,2.302585092994046,0,Cloudy,12,5,23,2,40.0,40.0,100.0,29.37,0.0,0.05
1.907,9,0,0,0,2.302585092994046,1,Cloudy,11,1,14,2,50.0,50.0,59.0,30.38,3.0,0.0
0.085,9,1,0,0,1.9459101490553132,0,Fair,3,2,19,2,48.0,48.0,61.0,29.75,0.0,0.0
0.7340000000000001,1,0,1,0,2.302585092994046,1,Cloudy,6,5,15,2,67.0,67.0,42.0,30.08,20.0,0.0
0.513,1,0,0,0,2.302585092994046,1,Cloudy,11,2,9,2,53.0,53.0,71.0,30.03,8.0,0.0
0.247,1,1,0,0,2.302585092994046,1,Fair,3,0,18,2,50.0,50.0,39.0,30.33,14.0,0.0
0.368,4,0,1,0,2.302585092994046,1,Fair,7,5,19,2,86.0,86.0,40.0,29.78,17.0,0.0
1.243,2,0,1,0,2.302585092994046,1,Cloudy,5,0,6,2,49.0,49.0,80.0,30.08,0.0,0.0
0.104,0,0,0,0,2.302585092994046,0,Cloudy,11,0,18,2,49.0,44.0,69.0,30.07,12.0,0.0
0.4539999999999999,5,0,0,0,2.302585092994046,1,Cloudy,12,3,16,2,47.0,45.0,77.0,30.06,5.0,0.0
0.1,0,0,0,0,2.302585092994046,1,Fair,7,1,14,2,82.0,82.0,42.0,30.01,5.0,0.0
0.0819999999999999,2,1,0,0,2.302585092994046,1,Cloudy,3,3,12,2,53.0,53.0,71.0,29.62,5.0,0.0
1.55,2,0,1,0,2.302585092994046,1,Fair,5,1,16,2,68.0,68.0,39.0,29.99,6.0,0.0
0.932,2,0,0,0,2.302585092994046,0,Cloudy,6,2,4,2,52.0,52.0,86.0,30.1,5.0,0.0
0.295,1,0,0,0,2.302585092994046,0,Rain,9,1,20,2,57.0,57.0,77.0,30.11,5.0,0.0
0.368,1,0,0,0,2.302585092994046,1,Cloudy,3,0,9,2,47.0,44.0,80.0,30.1,6.0,0.0
0.09,0,1,0,0,2.0794415416798357,1,Cloudy,10,1,8,2,42.0,39.0,89.0,30.23,5.0,0.0
2.822,9,0,1,0,2.302585092994046,1,Cloudy,2,6,11,2,52.0,52.0,57.0,30.31,8.0,0.0
0.147,4,0,0,0,2.302585092994046,1,Cloudy,8,0,14,2,68.0,68.0,39.0,29.96,5.0,0.0
0.382,6,0,0,0,2.1972245773362196,1,Rain,5,0,17,2,59.0,59.0,75.0,30.15,6.0,0.01
2.485,6,0,0,0,2.302585092994046,1,Fair,3,2,14,2,60.0,60.0,42.0,29.95,6.0,0.0
0.0409999999999999,3,1,0,0,2.302585092994046,1,Cloudy,8,4,15,2,79.0,79.0,56.0,30.02,7.0,0.0
0.094,1,1,0,0,2.302585092994046,1,Cloudy,10,2,16,2,63.0,63.0,56.0,29.96,12.0,0.0
0.071,1,1,0,0,2.302585092994046,1,Fair,9,2,17,2,69.0,69.0,32.0,30.03,15.0,0.0
0.299,1,0,0,0,2.302585092994046,1,Rain,3,0,8,2,45.0,43.0,86.0,30.09,5.0,0.01
0.047,4,1,0,0,2.302585092994046,0,Cloudy,3,0,6,2,37.0,37.0,86.0,30.14,3.0,0.0
0.122,6,0,0,0,2.302585092994046,1,Fair,12,1,15,2,44.0,40.0,63.0,29.86,7.0,0.0
0.292,1,0,0,0,2.302585092994046,0,Cloudy,11,6,18,2,60.0,60.0,69.0,30.17,7.0,0.0
0.87,0,1,0,0,2.302585092994046,1,Cloudy,11,1,13,2,51.0,51.0,68.0,30.15,10.0,0.0
0.893,0,0,0,0,2.302585092994046,1,Fair,5,4,19,2,65.0,65.0,45.0,30.15,13.0,0.0
1.01,0,1,0,0,2.302585092994046,0,Cloudy,3,3,2,2,45.0,43.0,80.0,29.86,5.0,0.0
2.3680000000000003,5,0,0,0,2.302585092994046,1,Cloudy,7,2,11,2,64.0,64.0,67.0,30.05,7.0,0.0
2.194,2,0,0,0,2.302585092994046,1,Rain,11,1,10,2,49.0,47.0,77.0,30.14,6.0,0.02
0.618,4,0,0,0,2.302585092994046,1,Fair,7,1,15,2,85.0,85.0,40.0,29.86,8.0,0.0
1.257,8,0,0,0,2.302585092994046,0,Cloudy,12,0,6,2,25.0,16.0,92.0,29.73,8.0,0.0
0.805,1,0,1,0,2.302585092994046,1,Fair,4,4,10,2,47.0,47.0,59.0,30.23,0.0,0.0
2.008,0,0,0,0,2.302585092994046,1,Fair,12,1,14,2,45.0,41.0,63.0,29.84,8.0,0.0
0.368,1,0,0,0,2.302585092994046,1,Cloudy,12,4,7,2,42.0,42.0,82.0,30.15,0.0,0.0
0.292,1,0,0,0,2.302585092994046,1,Cloudy,8,2,7,2,57.0,57.0,74.0,30.01,5.0,0.0
0.732,6,0,0,0,2.302585092994046,0,Cloudy,12,1,5,2,36.0,36.0,82.0,30.13,0.0,0.0
0.047,6,0,0,0,2.302585092994046,0,Fair,8,0,1,2,53.0,53.0,74.0,29.96,0.0,0.0
1.03,4,0,0,0,2.302585092994046,0,Cloudy,12,3,6,2,40.0,37.0,83.0,29.92,5.0,0.0
1.682,0,0,0,0,1.0986122886681098,1,Rain,12,5,13,2,50.0,50.0,80.0,30.09,12.0,0.0
0.426,0,0,1,0,2.302585092994046,0,Cloudy,9,4,19,2,77.0,77.0,43.0,29.7,16.0,0.0
2.052,0,1,0,0,2.302585092994046,1,Cloudy,4,1,14,2,60.0,60.0,53.0,30.15,6.0,0.0
0.55,5,0,0,0,2.302585092994046,1,Fair,7,5,18,2,83.0,83.0,39.0,30.04,17.0,0.0
1.137,6,0,0,0,2.302585092994046,0,Cloudy,12,6,20,2,42.0,42.0,79.0,30.39,0.0,0.0
0.016,0,1,0,0,2.302585092994046,1,Cloudy,10,1,18,2,54.0,54.0,59.0,30.01,0.0,0.0
0.988,2,0,0,0,2.302585092994046,1,Cloudy,12,2,15,2,44.0,39.0,73.0,29.83,9.0,0.0
0.012,3,0,0,0,2.302585092994046,1,Cloudy,8,5,20,2,75.0,75.0,60.0,29.83,5.0,0.0
2.692,2,0,0,0,2.302585092994046,1,Fair,8,2,16,2,96.0,96.0,23.0,29.63,14.0,0.0
0.785,6,0,0,0,2.302585092994046,1,Fair,6,5,14,2,100.0,100.0,34.0,29.86,12.0,0.0
2.426,6,0,0,0,2.302585092994046,1,Fair,11,5,14,2,51.0,51.0,63.0,30.48,3.0,0.0
0.051,7,1,0,0,2.302585092994046,1,Cloudy,12,3,16,2,45.0,41.0,68.0,29.56,7.0,0.0
0.032,7,0,0,0,2.302585092994046,1,Cloudy,10,4,16,2,57.0,57.0,77.0,29.81,9.0,0.0
0.038,7,0,0,0,2.302585092994046,1,Cloudy,10,1,15,2,54.0,54.0,53.0,30.07,5.0,0.0
0.126,1,0,0,0,2.302585092994046,1,Fair,6,5,15,2,79.0,79.0,36.0,30.01,10.0,0.0
1.851,6,1,0,0,2.302585092994046,1,Cloudy,6,1,7,2,59.0,59.0,78.0,30.11,3.0,0.0
0.33,6,0,0,0,1.0986122886681098,1,Cloudy,10,3,9,2,46.0,46.0,89.0,30.14,3.0,0.0
0.501,6,0,0,0,2.302585092994046,1,Rain,9,1,11,2,57.0,57.0,87.0,30.09,8.0,0.05
1.205,9,0,0,0,2.302585092994046,1,Fair,4,4,6,2,41.0,41.0,76.0,30.13,0.0,0.0
0.184,6,0,0,0,2.302585092994046,1,Cloudy,10,4,13,2,59.0,59.0,75.0,29.8,9.0,0.0
1.202,1,0,1,0,2.302585092994046,1,Cloudy,3,0,13,2,52.0,52.0,59.0,30.13,8.0,0.0
2.543,0,0,0,0,0.6931471805599453,1,Rain,12,0,13,2,44.0,40.0,89.0,30.02,8.0,0.0
0.171,1,1,0,0,1.9459101490553132,0,Rain,9,5,5,2,58.0,58.0,90.0,29.72,7.0,0.16
0.151,0,1,0,0,2.0794415416798357,1,Rain,11,4,14,2,62.0,62.0,86.0,30.16,7.0,0.08
0.75,1,1,0,0,2.302585092994046,1,Fair,9,5,15,2,76.0,76.0,31.0,30.1,9.0,0.0
0.728,1,0,0,0,2.302585092994046,1,Cloudy,3,4,7,2,48.0,45.0,66.0,30.02,7.0,0.0
0.0069999999999999,2,1,0,0,2.302585092994046,1,Fair,6,1,11,2,74.0,74.0,53.0,29.86,6.0,0.0
0.336,9,0,0,0,2.0794415416798357,0,Cloudy,11,4,19,2,51.0,51.0,92.0,30.2,0.0,0.0
0.551,9,0,1,0,2.302585092994046,1,Fair,7,1,12,2,73.0,73.0,53.0,29.96,8.0,0.0
0.534,6,0,0,0,2.302585092994046,1,Cloudy,12,3,11,2,42.0,42.0,89.0,30.02,0.0,0.0
0.994,5,0,0,0,2.302585092994046,1,Fair,10,3,17,2,60.0,60.0,51.0,30.0,8.0,0.0
0.447,1,0,0,0,1.9459101490553132,0,Cloudy,11,5,2,2,52.0,52.0,89.0,30.16,5.0,0.0
0.168,1,0,0,0,2.302585092994046,1,Rain,11,0,11,2,50.0,50.0,71.0,29.92,10.0,0.01
0.373,6,0,0,0,2.302585092994046,0,Rain,10,2,6,2,56.0,56.0,77.0,29.71,10.0,0.01
0.362,6,0,0,0,1.6094379124341003,0,Rain,11,3,18,2,44.0,37.0,85.0,29.83,14.0,0.04
0.0279999999999999,6,0,1,0,2.302585092994046,1,Fair,9,6,19,2,73.0,73.0,61.0,29.96,9.0,0.0
0.812,6,0,1,0,2.302585092994046,1,Fair,7,6,14,2,85.0,85.0,38.0,29.97,14.0,0.0
0.58,6,0,0,0,2.302585092994046,1,Fair,6,5,12,2,91.0,91.0,41.0,29.93,8.0,0.0
0.962,6,0,1,0,2.302585092994046,1,Rain,5,0,9,2,54.0,54.0,86.0,30.1,6.0,0.0
0.295,1,1,0,0,2.302585092994046,0,Cloudy,8,6,5,2,62.0,62.0,65.0,30.01,5.0,0.0
0.21,6,0,0,0,2.302585092994046,0,Cloudy,9,6,20,2,65.0,65.0,50.0,30.11,13.0,0.0
0.225,1,0,0,0,2.302585092994046,0,Cloudy,12,3,18,2,43.0,39.0,74.0,29.54,7.0,0.0
0.306,1,0,0,0,1.6094379124341003,0,Cloudy,12,5,1,2,36.0,31.0,100.0,30.07,6.0,0.0
0.067,1,0,0,0,2.302585092994046,0,Cloudy,11,1,20,2,51.0,51.0,77.0,30.1,7.0,0.0
0.3389999999999999,1,0,0,0,2.302585092994046,0,Cloudy,10,4,20,2,55.0,55.0,80.0,29.82,8.0,0.0
0.405,1,0,0,0,2.302585092994046,1,Fair,9,5,12,2,73.0,73.0,48.0,29.88,7.0,0.0
0.146,6,0,0,0,2.302585092994046,1,Cloudy,9,4,7,2,64.0,64.0,72.0,29.94,5.0,0.0
0.657,6,0,1,0,2.302585092994046,1,Fair,7,5,12,2,76.0,76.0,56.0,29.96,5.0,0.0
0.306,6,0,0,0,1.9459101490553132,1,Rain,12,2,14,2,47.0,43.0,83.0,29.62,9.0,0.03
2.032,4,0,0,0,2.302585092994046,1,Cloudy,3,5,9,2,43.0,43.0,82.0,29.87,0.0,0.0
0.8009999999999999,0,0,0,0,2.302585092994046,1,Fair,4,4,11,2,50.0,50.0,44.0,30.21,6.0,0.0
0.011,2,1,0,0,2.302585092994046,1,Cloudy,8,4,11,2,68.0,68.0,52.0,29.91,0.0,0.0
2.2030000000000003,0,0,0,0,2.302585092994046,1,Cloudy,8,1,11,2,77.0,77.0,46.0,30.03,9.0,0.0
1.412,1,0,0,0,1.791759469228055,1,Fog,6,2,10,2,69.0,69.0,65.0,29.88,9.0,0.0
1.027,9,0,0,0,2.302585092994046,0,Fair,10,6,19,2,55.0,55.0,34.0,29.94,16.0,0.0
1.4409999999999998,9,0,0,0,2.302585092994046,1,Fair,10,0,12,2,55.0,55.0,55.0,29.99,0.0,0.0
0.5670000000000001,9,0,0,0,2.302585092994046,1,Cloudy,8,3,13,2,68.0,68.0,65.0,30.08,5.0,0.0
0.0409999999999999,8,0,0,0,2.302585092994046,1,Cloudy,8,0,14,2,68.0,68.0,39.0,29.96,5.0,0.0
0.871,3,0,0,0,2.302585092994046,1,Rain,12,2,8,2,40.0,30.0,70.0,29.74,20.0,0.0
2.382,0,0,0,0,2.302585092994046,1,Cloudy,6,2,7,2,67.0,67.0,76.0,29.87,0.0,0.0
0.435,1,1,0,0,1.791759469228055,0,Rain,10,2,3,2,53.0,53.0,93.0,29.62,7.0,0.0
2.508,3,0,0,0,2.302585092994046,1,Fair,6,6,18,2,92.0,92.0,26.0,29.76,8.0,0.0
0.241,8,0,0,0,2.302585092994046,0,Fair,11,3,19,2,53.0,53.0,57.0,30.19,7.0,0.0
0.885,8,0,0,0,2.302585092994046,1,Fair,6,3,16,2,83.0,83.0,23.0,30.04,14.0,0.0
0.409,9,0,1,0,2.302585092994046,1,Fair,7,6,19,2,82.0,82.0,39.0,29.94,14.0,0.0
0.03,2,1,0,0,2.302585092994046,1,Fair,8,1,9,2,68.0,68.0,68.0,29.89,0.0,0.0
0.835,6,0,0,0,1.0986122886681098,1,Rain,12,5,14,2,50.0,50.0,86.0,30.1,7.0,0.02
0.7390000000000001,6,0,1,0,2.302585092994046,1,Fair,5,5,14,2,78.0,78.0,33.0,29.99,14.0,0.0
0.68,5,0,0,0,2.302585092994046,1,Cloudy,9,2,17,2,68.0,68.0,61.0,30.21,7.0,0.0
2.113,3,0,0,0,2.302585092994046,1,Cloudy,12,1,14,2,41.0,32.0,67.0,30.01,18.0,0.0
3.748,0,0,0,0,2.302585092994046,1,Cloudy,12,4,13,2,47.0,43.0,77.0,30.13,9.0,0.0
3.907,5,0,0,0,2.302585092994046,1,Cloudy,11,0,14,2,57.0,57.0,87.0,30.26,7.0,0.0
0.235,5,0,0,0,2.302585092994046,0,Cloudy,11,5,2,2,46.0,46.0,83.0,30.44,0.0,0.0
0.62,5,0,0,0,2.302585092994046,1,Fair,6,1,12,2,85.0,85.0,43.0,29.74,5.0,0.0
0.066,9,0,0,0,2.1972245773362196,0,Cloudy,12,1,18,2,34.0,34.0,92.0,29.69,3.0,0.0
0.032,7,1,0,0,2.302585092994046,1,Fair,8,1,15,2,85.0,85.0,24.0,29.87,13.0,0.0
0.999,1,0,0,0,2.302585092994046,0,Fair,8,0,2,2,57.0,57.0,67.0,29.96,7.0,0.0
0.498,1,0,0,0,2.302585092994046,1,Cloudy,4,2,12,2,49.0,49.0,69.0,30.15,0.0,0.0
0.79,1,0,0,0,2.302585092994046,0,Cloudy,6,0,21,2,80.0,80.0,43.0,29.79,6.0,0.0
0.396,5,0,0,0,2.302585092994046,1,Fair,7,3,11,2,79.0,79.0,45.0,30.0,8.0,0.0
1.664,6,0,0,0,2.302585092994046,1,Fair,7,6,17,2,87.0,87.0,22.0,30.0,8.0,0.0
0.917,0,0,0,0,2.302585092994046,1,Rain,9,1,16,2,59.0,59.0,75.0,30.09,5.0,0.0
0.654,0,0,0,0,2.302585092994046,1,Fair,8,3,16,2,82.0,82.0,39.0,30.0,5.0,0.0
0.195,0,0,0,0,2.302585092994046,1,Fair,3,2,17,2,57.0,57.0,49.0,29.74,7.0,0.0
0.286,2,0,0,0,2.302585092994046,1,Cloudy,12,6,13,2,35.0,27.0,76.0,29.3,12.0,0.0
0.607,2,0,1,0,2.302585092994046,1,Fair,6,1,11,2,81.0,81.0,45.0,29.75,3.0,0.0
1.159,1,0,0,0,2.302585092994046,1,Fair,8,2,7,2,59.0,59.0,72.0,30.01,0.0,0.0
0.165,1,1,0,0,2.302585092994046,1,Fair,7,2,17,2,93.0,93.0,24.0,29.96,8.0,0.0
1.621,3,0,0,0,2.302585092994046,1,Rain,11,3,15,2,48.0,41.0,56.0,29.8,18.0,0.0
3.028,3,0,1,0,1.791759469228055,1,Fog,8,4,8,2,76.0,76.0,64.0,29.97,0.0,0.0
0.62,5,0,0,0,2.302585092994046,0,Cloudy,12,3,21,2,42.0,35.0,76.0,29.51,15.0,0.0
0.392,2,0,1,0,2.302585092994046,1,Rain,6,0,9,2,63.0,63.0,90.0,29.97,5.0,0.0
0.054,2,0,1,0,2.302585092994046,1,Fair,4,3,11,2,56.0,56.0,57.0,29.95,3.0,0.0
0.713,5,0,0,0,2.302585092994046,1,Fair,6,4,12,2,75.0,75.0,40.0,30.03,8.0,0.0
3.247,4,0,0,0,2.302585092994046,1,Fair,5,2,5,2,40.0,40.0,97.0,29.84,0.0,0.0
3.551,0,0,0,0,2.302585092994046,1,Cloudy,11,3,13,2,49.0,44.0,54.0,29.81,13.0,0.0
0.488,1,0,1,0,2.302585092994046,1,Fair,6,0,7,2,71.0,71.0,59.0,29.85,0.0,0.0
1.177,1,0,1,0,2.302585092994046,0,Cloudy,10,3,6,2,51.0,51.0,83.0,30.18,3.0,0.0
6.72,1,0,0,0,2.302585092994046,1,Cloudy,12,0,16,2,42.0,38.0,79.0,30.07,7.0,0.0
0.211,9,0,0,0,2.302585092994046,0,Fair,6,6,2,2,62.0,62.0,70.0,29.94,5.0,0.0
2.78,9,0,0,0,2.302585092994046,1,Rain,6,6,18,2,65.0,65.0,78.0,29.88,3.0,0.03
0.575,1,0,1,0,2.302585092994046,1,Cloudy,6,5,9,2,61.0,61.0,64.0,30.09,6.0,0.0
0.249,0,0,0,0,1.9459101490553132,1,Rain,12,5,10,2,49.0,41.0,77.0,29.64,24.0,0.07
0.54,0,0,0,0,2.302585092994046,1,Fair,9,1,17,2,83.0,83.0,28.0,29.97,8.0,0.0
0.878,0,0,0,0,2.302585092994046,1,Cloudy,6,3,10,2,60.0,60.0,57.0,30.18,9.0,0.0
0.1,6,0,0,0,2.302585092994046,1,Rain,10,0,14,2,55.0,55.0,72.0,29.58,9.0,0.0
1.046,0,0,1,0,1.9459101490553132,0,Rain,12,1,7,2,44.0,40.0,89.0,30.03,8.0,0.01
0.236,0,1,0,0,2.302585092994046,0,Fair,10,5,23,2,54.0,54.0,33.0,30.0,14.0,0.0
0.171,0,1,0,0,2.302585092994046,0,Cloudy,11,0,17,2,49.0,44.0,69.0,30.07,12.0,0.0
0.018,1,1,0,0,2.302585092994046,1,Cloudy,9,6,7,2,56.0,56.0,90.0,29.96,0.0,0.02
0.042,1,0,0,0,2.302585092994046,1,Cloudy,10,3,12,2,54.0,54.0,72.0,30.08,5.0,0.0
0.155,1,0,0,0,2.302585092994046,0,Cloudy,8,3,21,2,64.0,64.0,65.0,30.03,8.0,0.0
0.551,9,0,1,0,2.302585092994046,1,Fair,6,3,13,2,75.0,75.0,48.0,30.0,3.0,0.0
0.149,1,0,0,0,0.6931471805599453,1,Rain,12,3,10,2,40.0,40.0,89.0,30.01,3.0,0.0
0.299,1,0,0,0,2.302585092994046,0,Fair,3,5,22,2,52.0,52.0,66.0,30.23,0.0,0.0
0.326,2,0,0,0,0.6931471805599453,1,Fog,12,1,10,2,32.0,32.0,96.0,29.59,3.0,0.0
0.304,2,0,0,0,2.302585092994046,1,Fair,5,6,8,2,55.0,55.0,74.0,29.78,0.0,0.0
0.3,6,0,1,0,2.302585092994046,1,Fair,4,4,17,2,63.0,63.0,38.0,30.03,6.0,0.0
0.5710000000000001,4,0,0,0,2.302585092994046,1,Fair,9,3,15,2,83.0,83.0,36.0,29.82,0.0,0.0
0.34,6,0,0,0,2.302585092994046,1,Cloudy,7,4,12,2,87.0,87.0,37.0,29.9,5.0,0.0
0.919,4,0,1,0,2.302585092994046,1,Cloudy,11,5,11,2,48.0,42.0,80.0,29.77,16.0,0.0
1.193,1,0,1,0,2.302585092994046,1,Cloudy,3,2,11,2,49.0,49.0,59.0,30.02,3.0,0.0
0.062,6,0,0,0,2.302585092994046,1,Cloudy,8,5,12,2,76.0,76.0,50.0,29.93,6.0,0.0
0.5920000000000001,1,0,0,0,2.302585092994046,1,Fair,4,2,10,2,59.0,59.0,28.0,30.14,7.0,0.0
0.728,1,0,0,0,2.302585092994046,1,Cloudy,8,2,7,2,57.0,57.0,74.0,30.01,5.0,0.0
0.957,5,0,0,0,2.302585092994046,1,Fair,10,4,14,2,65.0,65.0,54.0,30.15,3.0,0.0
1.719,5,0,0,0,2.302585092994046,1,Cloudy,5,4,9,2,53.0,53.0,57.0,30.24,7.0,0.0
3.457,4,0,0,0,1.3862943611198906,1,Rain,8,4,8,2,65.0,65.0,90.0,29.87,0.0,0.0
0.374,6,0,0,0,2.302585092994046,1,Cloudy,7,4,12,2,87.0,87.0,37.0,29.9,5.0,0.0
0.722,6,0,0,0,2.302585092994046,0,Fair,11,1,17,2,44.0,44.0,76.0,30.26,0.0,0.0
0.045,5,0,0,0,2.302585092994046,0,Fair,12,6,5,2,37.0,37.0,86.0,30.48,3.0,0.0
0.843,0,0,0,0,1.9459101490553132,1,Rain,12,1,8,2,44.0,40.0,89.0,30.03,8.0,0.01
0.259,2,0,0,0,2.302585092994046,1,Fair,6,4,11,2,72.0,72.0,48.0,29.85,10.0,0.0
0.233,4,0,0,0,2.302585092994046,1,Fair,10,3,18,2,56.0,56.0,57.0,30.0,8.0,0.0
0.33,4,0,0,0,2.302585092994046,1,Fair,7,0,17,2,88.0,88.0,37.0,29.86,18.0,0.0
